File,Tab,Row,Column,Fault,Injected Value,Expected Outcome
Cafe_Orders_A.xlsx,Store Details,3,Store Name (B3),store name case,camden cafe,standardised -> Camden Cafe
Cafe_Orders_A.xlsx,Orders,12,Payment Method,value not in dropdown,Cheque,flagged 00FFFF
Cafe_Orders_A.xlsx,Orders,13,Quantity,quantity outside 0-50,120,flagged 50C878
Cafe_Orders_A.xlsx,Orders,14,Refund Date,refund date before order date (date_not_before),2024/01/22,flagged 50C878
Cafe_Orders_A.xlsx,Orders,18,Quantity,non-numeric quantity,three,flagged 50C878
Cafe_Orders_A.xlsx,Orders,19,Quantity,Cancelled with a quantity (blanks_or_zero_list),2,flagged 50C878
Cafe_Orders_A.xlsx,Orders,20,Order Date,alternative date format,2023-01-20 00:00:00,standardised -> 2023/01/20
Cafe_Orders_A.xlsx,Orders,21,Item,misspelled dropdown value,Smoothy,flagged 00FFFF
Cafe_Orders_A.xlsx,Orders,23,Unit Price,non-numeric price,ERROR,flagged 50C878
Cafe_Orders_A.xlsx,Orders,26,Item,misspelled dropdown value,Te,flagged 00FFFF
Cafe_Orders_A.xlsx,Orders,28,Item Category,dropdown variant,beverage,standardised -> Drink
Cafe_Orders_A.xlsx,Orders,30,Item,misspelled dropdown value,Te,flagged 00FFFF
Cafe_Orders_A.xlsx,Orders,31,Quantity,Completed with no quantity (required_if_list),,flagged FFEA00
Cafe_Orders_A.xlsx,Orders,32,Unit Price,thousands comma in number,"1,250",standardised -> 1250.0
Cafe_Orders_A.xlsx,Orders,33,Item,dropdown value in wrong case,juice,standardised -> Juice
Cafe_Orders_A.xlsx,Orders,38,Order Status,blank mandatory status,,flagged FFEA00
Cafe_Orders_A.xlsx,Orders,40,Order ID,blank ID with ref in Notes,,standardised -> ORD-00037
Cafe_Orders_A.xlsx,Orders,42,Order Status,blank mandatory status,,flagged FFEA00
Cafe_Orders_A.xlsx,Orders,49,Unit Price,non-numeric price,ERROR,flagged 50C878
Cafe_Orders_A.xlsx,Orders,58,Unit Price,thousands comma in number,"1,250",standardised -> 1250.0
Cafe_Orders_A.xlsx,Orders,65,Payment Method,value not in dropdown,IOU,flagged 00FFFF
